RBP ,Motif ID
NONO,M307_0.6
NONO,M309_0.6
NONO,488_9001221
NONO,490_12403470
NOVA1,M322_0.6
NOVA1,M324_0.6
NOVA1,679_9154818
NOVA1,681_10811881
NOVA2,M323_0.6
NOVA2,M325_0.6
NOVA2,680_9789075
NOVA2,682_10811881
PABPC1,M146_0.6
PABPC1,M275_0.6
PABPC1,M349_0.6
PABPC1,24_7908267
PABPC1,950_7908267
PABPC1L,M042_0.6
PABPC1L,M144_0.6
PABPC1L,M146_0.6
PABPC1L,M275_0.6
PABPC1L,M349_0.6
PABPC1L,24_7908267
PABPC1L,950_7908267
PABPC3,M144_0.6
PABPC4,M042_0.6
PABPC5,M162_0.6
PABPN1,M148_0.6
PABPN1L,M148_0.6
PCBP1,M177_0.6
PCBP2,M043_0.6
PCBP3,M043_0.6
PCBP3,M177_0.6
PCBP3,M188_0.6
PCBP3,M207_0.6
PCBP3,M211_0.6
PCBP4,M043_0.6
PCBP4,M177_0.6
PCBP4,M188_0.6
PCBP4,M207_0.6
PCBP4,M211_0.6
PPRC1,M044_0.6
PSPC1,M168_0.6
PSPC1,M308_0.6
PSPC1,489_12403470
PTBP1,M227_0.6
PTBP1,M228_0.6
PTBP1,M303_0.6
PTBP1,46_9214659
PTBP1,1171_19561594
PTBP2,M227_0.6
PTBP2,M228_0.6
PTBP2,M303_0.6
PTBP2,46_9214659
PUM1,M255_0.6
PUM1,M283_0.6
PUM1,1182_18411299
PUM1,309_18776931
PUM2,M249_0.6
PUM2,M280_0.6
PUM2,M284_0.6
PUM2,1147_18776931
PUM2,278_20371350
PUM2,320_15607425
QKI,M046_0.6
QKI,M262_0.6
QKI,M281_0.6
QKI,149_16041388
QKI,279_20371350
QKI,1215_16041388
RALY,M150_0.6
RBFOX2,M017_0.6
RBFOX2,M118_0.6
RBFOX2,M159_0.6
RBFOX2,M297_0.6
RBFOX2,M298_0.6
RBFOX2,37_16537540
RBFOX2,36_12574126
RBFOX3,M017_0.6
RBFOX3,M118_0.6
RBFOX3,M159_0.6
RBFOX3,M297_0.6
RBFOX3,M298_0.6
RBFOX3,37_16537540
RBFOX3,36_12574126
RBM24,M175_0.6
RBM28,M047_0.6
RBM3,M048_0.6
RBM38,M049_0.6
RBM38,M170_0.6
RBM38,M175_0.6
RBM38,M238_0.6
RBM38,M240_0.6
RBM4,M050_0.6
RBM4,M109_0.6
RBM4,1172_19561594
RBM41,M051_0.6
RBM42,M142_0.6
RBM45,M209_0.6
RBM46,M052_0.6
RBM47,M052_0.6
RBM47,M234_0.6
RBM47,M235_0.6
RBM4B,M050_0.6
RBM4B,M109_0.6
RBM5,M053_0.6
RBM5,M145_0.6
RBM6,M161_0.6
RBM8A,M054_0.6
RBMS1,M143_0.6
RBMS2,M055_0.6
RBMS2,M143_0.6
RBMS2,M164_0.6
RBMS3,M055_0.6
RBMS3,M164_0.6
RBMX,M344_0.6
RBMX,922_19282290
RBMXL1,M246_0.6
RBMXL1,M247_0.6
RBMXL1,M344_0.6
RBMXL1,922_19282290
RBMXL1,1052_17318228
RBMXL1,1053_17318228
RBMXL2,M246_0.6
RBMXL2,M247_0.6
RBMXL2,M344_0.6
RBMXL2,922_19282290
RBMXL2,1052_17318228
RBMXL2,1053_17318228
RBMXL3,M246_0.6
RBMXL3,M247_0.6
RBMXL3,M344_0.6
RBMXL3,922_19282290
RBMXL3,1052_17318228
RBMXL3,1053_17318228
RBMY1A1,M246_0.6
